#Organism Name	Organism Groups	Strain	BioSample	BioProject	Assembly	Level	Size(Mb)	GC%	Replicons	WGS	Scaffolds	CDS	Release Date	GenBank FTP	RefSeq FTP
Canis lupus	Eukaryota;Animals;Mammals		SAMN02953603	PRJNA13179	GCA_000002285.2	 Chromosome	2410.98	41.3022	chromosome 1:NC_006583.3/CM000001.3; chromosome 2:NC_006584.3/CM000002.3; chromosome 3:NC_006585.3/CM000003.3; chromosome 4:NC_006586.3/CM000004.3; chromosome 5:NC_006587.3/CM000005.3; chromosome 6:NC_006588.3/CM000006.3; chromosome 7:NC_006589.3/CM000007.3; chromosome 8:NC_006590.3/CM000008.3; chromosome 9:NC_006591.3/CM000009.3; chromosome 10:NC_006592.3/CM000010.3; chromosome 11:NC_006593.3/CM000011.3; chromosome 12:NC_006594.3/CM000012.3; chromosome 13:NC_006595.3/CM000013.3; chromosome 14:NC_006596.3/CM000014.3; chromosome 15:NC_006597.3/CM000015.3; chromosome 16:NC_006598.3/CM000016.3; chromosome 17:NC_006599.3/CM000017.3; chromosome 18:NC_006600.3/CM000018.3; chromosome 19:NC_006601.3/CM000019.3; chromosome 20:NC_006602.3/CM000020.3; chromosome 21:NC_006603.3/CM000021.3; chromosome 22:NC_006604.3/CM000022.3; chromosome 23:NC_006605.3/CM000023.3; chromosome 24:NC_006606.3/CM000024.3; chromosome 25:NC_006607.3/CM000025.3; chromosome 26:NC_006608.3/CM000026.3; chromosome 27:NC_006609.3/CM000027.3; chromosome 28:NC_006610.3/CM000028.3; chromosome 29:NC_006611.3/CM000029.3; chromosome 30:NC_006612.3/CM000030.3; chromosome 31:NC_006613.3/CM000031.3; chromosome 32:NC_006614.3/CM000032.3; chromosome 33:NC_006615.3/CM000033.3; chromosome 34:NC_006616.3/CM000034.3; chromosome 35:NC_006617.3/CM000035.3; chromosome 36:NC_006618.3/CM000036.3; chromosome 37:NC_006619.3/CM000037.3; chromosome 38:NC_006620.3/CM000038.3; chromosome X:NC_006621.3/CM000039.3; mitochondrion MT:NC_002008.4/U96639.2	AAEX03	3310	58776	2004-07-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/285/GCA_000002285.2_CanFam3.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/285/GCF_000002285.3_CanFam3.1
Carassius auratus	Eukaryota;Animals;Fishes	Wakin	SAMN09670328	PRJNA487739	GCA_003368295.1	 Chromosome	1820.64	37.4819	chromosome 1:CM010432.1; chromosome 2:CM010433.1; chromosome 3:CM010434.1; chromosome 4:CM010435.1; chromosome 5:CM010436.1; chromosome 6:CM010437.1; chromosome 7:CM010438.1; chromosome 8:CM010439.1; chromosome 9:CM010440.1; chromosome 10:CM010441.1; chromosome 11:CM010442.1; chromosome 12:CM010443.1; chromosome 13:CM010444.1; chromosome 14:CM010445.1; chromosome 15:CM010446.1; chromosome 16:CM010447.1; chromosome 17:CM010448.1; chromosome 18:CM010449.1; chromosome 19:CM010450.1; chromosome 20:CM010451.1; chromosome 21:CM010452.1; chromosome 22:CM010453.1; chromosome 23:NC_039265.1/CM010454.1; chromosome 24:NC_039266.1/CM010455.1; chromosome 25:NC_039267.1/CM010456.1; chromosome 26:NC_039268.1/CM010457.1; chromosome 27:NC_039269.1/CM010458.1; chromosome 28:NC_039270.1/CM010459.1; chromosome 29:NC_039271.1/CM010460.1; chromosome 30:NC_039272.1/CM010461.1; chromosome 31:NC_039273.1/CM010462.1; chromosome 32:NC_039274.1/CM010463.1; chromosome 33:NC_039275.1/CM010464.1; chromosome 34:NC_039276.1/CM010465.1; chromosome 35:NC_039277.1/CM010466.1; chromosome 36:NC_039278.1/CM010467.1; chromosome 37:NC_039279.1/CM010468.1; chromosome 38:NC_039280.1/CM010469.1; chromosome 39:NC_039281.1/CM010470.1; chromosome 40:NC_039282.1/CM010471.1; chromosome 41:NC_039283.1/CM010472.1; chromosome 42:NC_039284.1/CM010473.1; chromosome 43:NC_039285.1/CM010474.1; chromosome 44:NC_039286.1/CM010475.1; chromosome 45:NC_039287.1/CM010476.1; chromosome 46:NC_039288.1/CM010477.1; chromosome 47:NC_039289.1/CM010478.1; chromosome 48:NC_039290.1/CM010479.1; chromosome 49:NC_039291.1/CM010480.1; chromosome 50:NC_039292.1/CM010481.1; linkage group LG28B:NC_039293.1/CM010482.1; linkage group LG30F:NC_039294.1/CM010483.1; linkage group LG36F:NC_039295.1/CM010484.1; linkage group LG37M:NC_039296.1/CM010485.1; linkage group LG42F:NC_039297.1/CM010486.1; linkage group LG44F:NC_039298.1/CM010487.1; linkage group LG45M:NC_039299.1/CM010488.1; linkage group LG48F:NC_039300.1/CM010489.1; linkage group LG49B:NC_039301.1/CM010490.1; mitochondrion MT:CM010491.1; mitochondrion MT:NC_002079.1/AB006953.1	QPKE01	6216	58770	2018-08-08T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/368/295/GCA_003368295.1_ASM336829v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/368/295/GCF_003368295.1_ASM336829v1
Centruroides sculpturatus	Eukaryota;Animals;Other Animals	CEXI.00-Female	SAMN02617800	PRJNA422877	GCA_000671375.2	Scaffold	925.475	31		AXZI02	8338	3639	2014-05-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/671/375/GCA_000671375.2_Cexi_2.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/671/375/GCF_000671375.1_Cexi_2.0
Crassostrea gigas	Eukaryota;Animals;Other Animals	05x7-T-G4-1.051#20	SAMN00690713	PRJNA276446	GCA_000297895.1	Scaffold	557.736	35.3	mitochondrion MT:NC_001276.1/AF177226.1	AFTI01	7659	46753	2012-09-17T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/895/GCA_000297895.1_oyster_v9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/895/GCF_000297895.1_oyster_v9
Danio rerio	Eukaryota;Animals;Fishes	Tuebingen	SAMN06930106	PRJNA11776	GCA_000002035.4	 Chromosome	1679.2	36.6374	chromosome 1:NC_007112.7/CM002885.2; chromosome 2:NC_007113.7/CM002886.2; chromosome 3:NC_007114.7/CM002887.2; chromosome 4:NC_007115.7/CM002888.2; chromosome 5:NC_007116.7/CM002889.2; chromosome 6:NC_007117.7/CM002890.2; chromosome 7:NC_007118.7/CM002891.2; chromosome 8:NC_007119.7/CM002892.2; chromosome 9:NC_007120.7/CM002893.2; chromosome 10:NC_007121.7/CM002894.2; chromosome 11:NC_007122.7/CM002895.2; chromosome 12:NC_007123.7/CM002896.2; chromosome 13:NC_007124.7/CM002897.2; chromosome 14:NC_007125.7/CM002898.2; chromosome 15:NC_007126.7/CM002899.2; chromosome 16:NC_007127.7/CM002900.2; chromosome 17:NC_007128.7/CM002901.2; chromosome 18:NC_007129.7/CM002902.2; chromosome 19:NC_007130.7/CM002903.2; chromosome 20:NC_007131.7/CM002904.2; chromosome 21:NC_007132.7/CM002905.2; chromosome 22:NC_007133.7/CM002906.2; chromosome 23:NC_007134.7/CM002907.2; chromosome 24:NC_007135.7/CM002908.2; chromosome 25:NC_007136.7/CM002909.2; mitochondrion MT:NC_002333.2/AC024175.3		2848	57100	2005-07-05T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/035/GCA_000002035.4_GRCz11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.6_GRCz11
Drosophila erecta	Eukaryota;Animals;Insects	14021-0224.00-06-07	SAMN09383010	PRJNA501994	GCA_003286155.2	Contig	146.538	42.4		QMER02	94	23135	2018-07-02T00:00:00Z		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/135/GCF_000005135.1_dere_caf1
Drosophila melanogaster	Eukaryota;Animals;Insects		SAMN02803731	PRJNA13669	GCA_000001215.4	 Chromosome	143.726	42.0803	chromosome X:NC_004354.4/AE014298.5; chromosome 2L:NT_033779.5/AE014134.6; chromosome 2R:NT_033778.4/AE013599.5; chromosome 3L:NT_037436.4/AE014296.5; chromosome 3R:NT_033777.3/AE014297.3; chromosome 4:NC_004353.4/AE014135.4; chromosome Y:NC_024512.1/CP007106.1; mitochondrion MT:NC_024511.2/KJ947872.2		1870	30493	2002-04-30T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/215/GCA_000001215.4_Release_6_plus_ISO1_MT	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT
Drosophila virilis	Eukaryota;Animals;Insects	TSC#15010-1051.87	SAMN02953641	PRJNA12688	GCA_000005245.1	Scaffold	206.027	40.7		AANI01	13530	20548	2006-04-11T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/245/GCA_000005245.1_dvir_caf1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/245/GCF_000005245.1_dvir_caf1
Drosophila yakuba	Eukaryota;Animals;Insects	Tai18E2	SAMN02952910	PRJNA12366	GCA_000005975.1	 Chromosome	165.71	42.3955	chromosome X:NC_011091.1/CM000162.2; chromosome 2L:NT_167062.1/CM000157.2; chromosome 2R:NT_167063.1/CM000158.2; chromosome 3L:NT_167064.1/CM000159.2; chromosome 3R:NT_167065.1/CM000160.2; chromosome 4:NC_011090.1/CM000161.2; mitochondrion MT:NC_001322.1/X03240.1	AAEU02	8123	23317	2004-07-07T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/975/GCA_000005975.1_dyak_caf1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/975/GCF_000005975.2_dyak_caf1
Eptesicus fuscus	Eukaryota;Animals;Mammals	BU_THK_EF1	SAMN00767986	PRJNA232522	GCA_000308155.1	Scaffold	2026.63	43.5		ALEH01	6789	24147	2012-07-30T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/308/155/GCA_000308155.1_EptFus1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/308/155/GCF_000308155.1_EptFus1.0
Equus caballus	Eukaryota;Animals;Mammals	Twilight	SAMN02953672	PRJNA421018	GCA_002863925.1	 Chromosome	2506.97	41.5271	chromosome 1:NC_009144.3/CM009148.1; chromosome 2:NC_009145.3/CM009149.1; chromosome 3:NC_009146.3/CM009150.1; chromosome 4:NC_009147.3/CM009151.1; chromosome 5:NC_009148.3/CM009152.1; chromosome 6:NC_009149.3/CM009153.1; chromosome 7:NC_009150.3/CM009154.1; chromosome 8:NC_009151.3/CM009155.1; chromosome 9:NC_009152.3/CM009156.1; chromosome 10:NC_009153.3/CM009157.1; chromosome 11:NC_009154.3/CM009158.1; chromosome 12:NC_009155.3/CM009159.1; chromosome 13:NC_009156.3/CM009160.1; chromosome 14:NC_009157.3/CM009161.1; chromosome 15:NC_009158.3/CM009162.1; chromosome 16:NC_009159.3/CM009163.1; chromosome 17:NC_009160.3/CM009164.1; chromosome 18:NC_009161.3/CM009165.1; chromosome 19:NC_009162.3/CM009166.1; chromosome 20:NC_009163.3/CM009167.1; chromosome 21:NC_009164.3/CM009168.1; chromosome 22:NC_009165.3/CM009169.1; chromosome 23:NC_009166.3/CM009170.1; chromosome 24:NC_009167.3/CM009171.1; chromosome 25:NC_009168.3/CM009172.1; chromosome 26:NC_009169.3/CM009173.1; chromosome 27:NC_009170.3/CM009174.1; chromosome 28:NC_009171.3/CM009175.1; chromosome 29:NC_009172.3/CM009176.1; chromosome 30:NC_009173.3/CM009177.1; chromosome 31:NC_009174.3/CM009178.1; chromosome X:NC_009175.3/CM009179.1; mitochondrion MT:NC_001640.1/X79547.1	PJAA01	4701	60900	2007-06-26T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/863/925/GCA_002863925.1_EquCab3.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/863/925/GCF_002863925.1_EquCab3.0
Gallus gallus	Eukaryota;Animals;Birds	RJF #256	SAMN02981218	PRJNA13342	GCA_000002315.5	 Chromosome	1065.37	42.3032	chromosome 1:NC_006088.5/CM000093.5; chromosome 2:NC_006089.5/CM000094.5; chromosome 3:NC_006090.5/CM000095.5; chromosome 4:NC_006091.5/CM000096.5; chromosome 5:NC_006092.5/CM000097.5; chromosome 6:NC_006093.5/CM000098.5; chromosome 7:NC_006094.5/CM000099.5; chromosome 8:NC_006095.5/CM000100.5; chromosome 9:NC_006096.5/CM000101.5; chromosome 10:NC_006097.5/CM000102.5; chromosome 11:NC_006098.5/CM000103.5; chromosome 12:NC_006099.5/CM000104.5; chromosome 13:NC_006100.5/CM000105.5; chromosome 14:NC_006101.5/CM000106.5; chromosome 15:NC_006102.5/CM000107.5; chromosome 16:NC_006103.5/CM000108.5; chromosome 17:NC_006104.5/CM000109.5; chromosome 18:NC_006105.5/CM000110.5; chromosome 19:NC_006106.5/CM000111.5; chromosome 20:NC_006107.5/CM000112.5; chromosome 21:NC_006108.5/CM000113.5; chromosome 22:NC_006109.5/CM000114.5; chromosome 23:NC_006110.5/CM000115.5; chromosome 24:NC_006111.5/CM000116.5; chromosome 25:NC_006112.4/CM000124.5; chromosome 26:NC_006113.5/CM000117.5; chromosome 27:NC_006114.5/CM000118.5; chromosome 28:NC_006115.5/CM000119.5; chromosome 30:NC_028739.2/CM003637.2; chromosome 31:NC_028740.2/CM003638.2; chromosome 32:NC_006119.4/CM000120.4; chromosome 33:NC_008465.4/CM000123.5; chromosome W:NC_006126.5/CM000121.5; chromosome Z:NC_006127.5/CM000122.5; mitochondrion MT:NC_001323.1/X52392.1	AADN05	525	49681	2004-02-29T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/315/GCA_000002315.5_GRCg6a	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/315/GCF_000002315.5_GRCg6a
Gasterosteus aculeatus	Eukaryota;Animals;Fishes		SAMN02981227	PRJNA13579	GCA_000180675.1	Contig	446.611	44.6		AANH01	16957	0	2006-02-01T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/675/GCA_000180675.1_ASM18067v1	
Homo sapiens	Eukaryota;Animals;Mammals			PRJNA31257	GCA_000001405.27	 Chromosome	3257.32	41.465	chromosome 1:NC_000001.11/CM000663.2; chromosome 2:NC_000002.12/CM000664.2; chromosome 3:NC_000003.12/CM000665.2; chromosome 4:NC_000004.12/CM000666.2; chromosome 5:NC_000005.10/CM000667.2; chromosome 6:NC_000006.12/CM000668.2; chromosome 7:NC_000007.14/CM000669.2; chromosome 8:NC_000008.11/CM000670.2; chromosome 9:NC_000009.12/CM000671.2; chromosome 10:NC_000010.11/CM000672.2; chromosome 11:NC_000011.10/CM000673.2; chromosome 12:NC_000012.12/CM000674.2; chromosome 13:NC_000013.11/CM000675.2; chromosome 14:NC_000014.9/CM000676.2; chromosome 15:NC_000015.10/CM000677.2; chromosome 16:NC_000016.10/CM000678.2; chromosome 17:NC_000017.11/CM000679.2; chromosome 18:NC_000018.10/CM000680.2; chromosome 19:NC_000019.10/CM000681.2; chromosome 20:NC_000020.11/CM000682.2; chromosome 21:NC_000021.9/CM000683.2; chromosome 22:NC_000022.11/CM000684.2; chromosome X:NC_000023.11/CM000685.2; chromosome Y:NC_000024.10/CM000686.2; mitochondrion MT:NC_012920.1/J01415.2		874	119294	2002-08-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.27_GRCh38.p12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.38_GRCh38.p12
Locusta migratoria	Eukaryota;Animals;Insects		SAMN02261463	PRJNA185471	GCA_000516895.1	Contig	5759.8	40.7		AVCP01	1397492	0	2013-12-18T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/516/895/GCA_000516895.1_LocustGenomeV1	
Lymnaea stagnalis	Eukaryota;Animals;Other Animals		SAMEA3715147	PRJEB11470	GCA_900036025.1	Contig	833.229	37.4		FCFB01	328378	0	2016-02-26T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/036/025/GCA_900036025.1_v1.0	
Macaca fascicularis	Eukaryota;Animals;Mammals		SAMN00811240	PRJNA20409	GCA_000364345.1	 Chromosome	2946.84	41.3398	chromosome 1:NC_022272.1/CM001919.1; chromosome 2:NC_022273.1/CM001920.1; chromosome 3:NC_022274.1/CM001921.1; chromosome 4:NC_022275.1/CM001922.1; chromosome 5:NC_022276.1/CM001923.1; chromosome 6:NC_022277.1/CM001924.1; chromosome 7:NC_022278.1/CM001925.1; chromosome 8:NC_022279.1/CM001926.1; chromosome 9:NC_022280.1/CM001927.1; chromosome 10:NC_022281.1/CM001928.1; chromosome 11:NC_022282.1/CM001929.1; chromosome 12:NC_022283.1/CM001930.1; chromosome 13:NC_022284.1/CM001931.1; chromosome 14:NC_022285.1/CM001932.1; chromosome 15:NC_022286.1/CM001933.1; chromosome 16:NC_022287.1/CM001934.1; chromosome 17:NC_022288.1/CM001935.1; chromosome 18:NC_022289.1/CM001936.1; chromosome 19:NC_022290.1/CM001937.1; chromosome 20:NC_022291.1/CM001938.1; chromosome X:NC_022292.1/CM001939.1; mitochondrion MT:NC_012670.1/FJ906803.1	AQIA01	7625	62703	2013-05-20T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/345/GCA_000364345.1_Macaca_fascicularis_5.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/345/GCF_000364345.1_Macaca_fascicularis_5.0
